State,Commodity,Year,Min_Price ,Max_Price,Avg_Price,Min_Price
Kerala,Tomato,2013,37.31,45.02,38.72,
Kerala,Onion,2013,34.19,54.7,39.81,
Kerala,Potato,2013,34.13,48.8,46.67,
Kerala,Carrot,2013,19.94,49.53,30.15,
Kerala,Cabbage,2013,34.36,58.06,54.85,
Kerala,Cauliflower,2013,17.72,30.91,24.17,
Kerala,Spinach,2013,31.88,46.34,39.73,
Kerala,Broccoli,2013,10.55,39.98,32.62,
Kerala,Pumpkin,2013,26.87,30.53,28.2,
Kerala,Capsicum,2013,28.72,48.1,46.02,
Kerala,Radish,2013,23.27,28.62,24.75,
Kerala,Beetroot,2013,32.41,52.83,40.33,
Kerala,Brinjal,2013,35.74,49.97,42.03,
Kerala,Ladyfinger,2013,11.47,17.35,16.27,
Kerala,Green Peas,2013,10.31,25.52,13.41,
Kerala,Cucumber,2013,33.65,46.95,43.29,
Kerala,Garlic,2013,26.83,49.92,36.7,
Kerala,Ginger,2013,14.93,34.23,33.02,
Kerala,Mushroom,2013,12.74,14.79,14.06,
Kerala,Chili,2013,27.51,44.38,33.95,
Kerala,Bitter Gourd,2013,28.74,55.79,38.57,
Kerala,Bottle Gourd,2013,23.65,49.51,33.28,
Kerala,Ash Gourd,2013,17.79,43.56,30.12,
Kerala,Drumstick,2013,27.88,48.82,40.89,
Kerala,Fenugreek Leaves,2013,13.24,14.22,13.94,
Kerala,Coriander,2013,17.84,33.75,32.0,
Kerala,Mint,2013,34.35,56.58,45.57,
Kerala,Spring Onion,2013,29.36,48.04,36.18,
Kerala,Turnip,2013,37.23,46.95,41.3,
Kerala,Sweet Corn,2013,28.03,57.87,36.0,
Kerala,Zucchini,2013,37.64,52.55,45.41,
Kerala,Celery,2013,13.22,21.53,19.92,
Kerala,Leeks,2013,28.08,38.59,28.77,
Kerala,Parsley,2013,18.04,19.87,19.44,
Kerala,Curry Leaves,2013,15.27,34.24,32.8,
Kerala,Red Cabbage,2013,24.48,44.61,33.14,
Kerala,Lettuce,2013,15.08,26.02,25.69,
Kerala,Kohlrabi,2013,31.24,35.73,32.42,
Kerala,Snake Gourd,2013,25.18,29.03,28.75,
Kerala,Ivy Gourd,2013,28.25,51.54,28.35,
Kerala,Cluster Beans,2013,28.66,45.61,39.94,
Kerala,French Beans,2013,19.78,37.12,31.96,
Kerala,Broad Beans,2013,19.76,46.8,26.38,
Kerala,Soybean,2013,12.41,14.84,14.69,
Kerala,Mustard Leaves,2013,23.55,50.02,27.46,
Kerala,Tapioca,2013,28.28,55.39,35.76,
Kerala,Jackfruit Seed,2013,39.32,48.6,41.05,
Kerala,Yam,2013,39.28,44.31,43.86,
Kerala,Colocasia,2013,27.51,29.2,28.8,
Kerala,Elephant Foot Yam,2013,14.4,24.03,17.61,
Kerala,Tomato,2014,35.34,52.24,41.0,
Kerala,Onion,2014,29.43,41.21,30.44,
Kerala,Potato,2014,14.52,36.71,23.26,
Kerala,Carrot,2014,25.15,26.68,25.47,
Kerala,Cabbage,2014,32.74,56.45,44.83,
Kerala,Cauliflower,2014,12.78,21.95,20.71,
Kerala,Spinach,2014,23.31,50.62,44.38,
Kerala,Broccoli,2014,10.06,15.79,14.44,
Kerala,Pumpkin,2014,30.71,47.29,44.85,
Kerala,Capsicum,2014,24.71,25.14,24.98,
Kerala,Radish,2014,38.88,46.92,41.26,
Kerala,Beetroot,2014,22.97,40.91,36.82,
Kerala,Brinjal,2014,34.82,48.03,42.63,
Kerala,Ladyfinger,2014,25.21,54.93,45.8,
Kerala,Green Peas,2014,36.69,49.25,44.07,
Kerala,Cucumber,2014,34.53,45.03,42.77,
Kerala,Garlic,2014,20.47,22.81,22.69,
Kerala,Ginger,2014,15.63,44.96,20.1,
Kerala,Mushroom,2014,25.99,40.19,36.16,
Kerala,Chili,2014,27.28,34.36,27.51,
Kerala,Bitter Gourd,2014,10.33,14.41,14.01,
Kerala,Bottle Gourd,2014,33.36,61.64,40.32,
Kerala,Ash Gourd,2014,32.36,51.84,49.51,
Kerala,Drumstick,2014,20.61,43.8,23.73,
Kerala,Fenugreek Leaves,2014,38.57,51.01,45.78,
Kerala,Coriander,2014,14.48,15.67,15.48,
Kerala,Mint,2014,12.9,42.82,23.69,
Kerala,Spring Onion,2014,27.3,38.32,29.59,
Kerala,Turnip,2014,16.38,33.45,19.67,
Kerala,Sweet Corn,2014,32.45,49.81,35.52,
Kerala,Zucchini,2014,18.05,40.06,29.16,
Kerala,Celery,2014,22.18,27.19,23.55,
Kerala,Leeks,2014,28.64,42.71,41.44,
Kerala,Parsley,2014,26.71,49.48,34.66,
Kerala,Curry Leaves,2014,13.38,33.87,20.4,
Kerala,Red Cabbage,2014,30.72,60.05,35.52,
Kerala,Lettuce,2014,10.74,28.76,26.17,
Kerala,Kohlrabi,2014,17.81,26.93,18.19,
Kerala,Snake Gourd,2014,24.54,42.35,40.43,
Kerala,Ivy Gourd,2014,25.21,52.23,34.08,
Kerala,Cluster Beans,2014,32.84,34.65,33.12,
Kerala,French Beans,2014,19.72,44.55,39.6,
Kerala,Broad Beans,2014,26.36,40.73,37.35,
Kerala,Soybean,2014,22.67,44.03,24.0,
Kerala,Mustard Leaves,2014,13.61,14.06,13.79,
