Year,Month,Vegetable,Quantity_Sold,Growth,Percentage
2013,1,Tomato,1236.55,1152.58,-3.47
2013,2,Tomato,1145.19,1079.15,-7.39
2013,3,Tomato,1119.05,1188.86,-2.28
2013,4,Tomato,1146.07,1365.45,2.42
2013,5,Tomato,1033.64,854.85,-9.81
2013,6,Tomato,1099.51,1108.52,6.37
2013,7,Tomato,1098.64,1119.08,-0.08
2013,8,Tomato,1034.56,1141.77,-5.83
2013,9,Tomato,976.89,1066.15,-5.57
2013,10,Tomato,903.48,869.59,-7.51
2013,11,Tomato,985.37,798.2,9.06
2013,12,Tomato,925.83,861.99,-6.04
2014,1,Tomato,907.7,1053.55,-1.96
2014,2,Tomato,957.74,955.42,5.51
2014,3,Tomato,956.1,1031.04,-0.17
2014,4,Tomato,889.74,722.92,-6.94
2014,5,Tomato,894.6,1040.97,0.55
2014,6,Tomato,948.58,1107.52,6.03
2014,7,Tomato,913.27,774.94,-3.72
2014,8,Tomato,929.79,1084.68,1.81
2014,9,Tomato,877.48,755.14,-5.63
2014,10,Tomato,799.24,928.63,-8.92
2014,11,Tomato,856.68,891.68,7.19
2014,12,Tomato,938.99,840.09,9.61
2015,1,Tomato,965.22,823.61,2.79
2015,2,Tomato,1009.16,916.77,4.55
2015,3,Tomato,963.95,850.49,-4.48
2015,4,Tomato,945.61,865.62,-1.9
2015,5,Tomato,856.65,913.81,-9.41
2015,6,Tomato,795.25,654.57,-7.17
2015,7,Tomato,716.61,835.38,-9.89
2015,8,Tomato,787.83,850.95,9.94
2015,9,Tomato,715.31,595.69,-9.21
2015,10,Tomato,719.58,752.4,0.6
2015,11,Tomato,715.2,718.65,-0.61
2015,12,Tomato,662.19,571.75,-7.41
2016,1,Tomato,699.6,653.42,5.65
2016,2,Tomato,735.42,836.98,5.12
2016,3,Tomato,725.65,631.58,-1.33
2016,4,Tomato,752.35,862.94,3.68
2016,5,Tomato,709.55,651.02,-5.69
2016,6,Tomato,703.72,718.87,-0.82
2016,7,Tomato,633.41,715.13,-9.99
2016,8,Tomato,682.85,780.55,7.8
2016,9,Tomato,668.94,638.48,-2.04
2016,10,Tomato,676.68,625.01,1.16
2016,11,Tomato,705.7,689.75,4.29
2016,12,Tomato,737.2,856.23,4.46
2017,1,Tomato,677.4,671.44,-8.11
2017,2,Tomato,626.24,523.21,-7.55
2017,3,Tomato,629.44,730.64,0.51
2017,4,Tomato,586.84,529.37,-6.77
2017,5,Tomato,537.88,440.04,-8.34
2017,6,Tomato,506.82,569.58,-5.77
